"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7202","Verify all needs elements are visible","","Fri Aug 23 22:35:26 UTC 2024","passed","Fri Aug 23 22:35:34 UTC 2024","","Login page testing","",""
"","492","Filter products alphabetically by name (Z to A)","","Fri Aug 23 22:35:35 UTC 2024","passed","Fri Aug 23 22:35:36 UTC 2024","","Inventory page testing","",""
"","655","Filter products alphabetically by name (A to Z)","","Fri Aug 23 22:35:34 UTC 2024","passed","Fri Aug 23 22:35:35 UTC 2024","","Inventory page testing","",""
"","685","filter products from (high to low)  price","","Fri Aug 23 22:35:34 UTC 2024","passed","Fri Aug 23 22:35:34 UTC 2024","","Inventory page testing","",""
"","3370","Verify errors when loggin in with invalid credentials","","Fri Aug 23 22:35:30 UTC 2024","passed","Fri Aug 23 22:35:34 UTC 2024","","Login page testing","",""
"","1079","should navigate to the correct page when the Cancel button is clicked","","Fri Aug 23 22:35:35 UTC 2024","passed","Fri Aug 23 22:35:36 UTC 2024","","Checkout page testing","",""
"","10105","Verify that all checkout page elements are visible and contain correct text","","Fri Aug 23 22:35:26 UTC 2024","passed","Fri Aug 23 22:35:36 UTC 2024","","Checkout page testing","",""
"","1120","should navigate to the inventory page when 'Checkout' is clicked","","Fri Aug 23 22:35:35 UTC 2024","passed","Fri Aug 23 22:35:36 UTC 2024","","Cart page testing","",""
"","891","Verify button changes and cart quantity updates after removing a product","","Fri Aug 23 22:35:32 UTC 2024","passed","Fri Aug 23 22:35:32 UTC 2024","","Inventory page testing","",""
"","2585","should navigate to the correct page when the Continue button is clicked","","Fri Aug 23 22:35:34 UTC 2024","passed","Fri Aug 23 22:35:36 UTC 2024","","Checkout page testing","",""
"","5000","Verify successful login with valid credentials","","Fri Aug 23 22:35:29 UTC 2024","passed","Fri Aug 23 22:35:34 UTC 2024","","Login page testing","",""
"","1182","should navigate to the inventory page when 'Continue Shopping' is clicked","","Fri Aug 23 22:35:33 UTC 2024","passed","Fri Aug 23 22:35:34 UTC 2024","","Cart page testing","",""
"","5783","should correctly input and verify user details in the checkout form","","Fri Aug 23 22:35:31 UTC 2024","passed","Fri Aug 23 22:35:36 UTC 2024","","Checkout page testing","",""
"","5435","Verify that all cart page elements are visible and contain correct text","","Fri Aug 23 22:35:26 UTC 2024","passed","Fri Aug 23 22:35:32 UTC 2024","","Cart page testing","",""
"","1038","filter products from (low to high) price","","Fri Aug 23 22:35:33 UTC 2024","passed","Fri Aug 23 22:35:34 UTC 2024","","Inventory page testing","",""
"","921","should ensure the product remains in the cart after the user logs out and logs back in","","Fri Aug 23 22:35:36 UTC 2024","passed","Fri Aug 23 22:35:37 UTC 2024","","Cart page testing","",""
"","4048","Verify that products info  displayed correctly","","Fri Aug 23 22:35:26 UTC 2024","passed","Fri Aug 23 22:35:30 UTC 2024","","Inventory page testing","",""
"","1384","the cart page should display correct item details","","Fri Aug 23 22:35:32 UTC 2024","passed","Fri Aug 23 22:35:33 UTC 2024","","Cart page testing","",""
"","4515","should display an error message when submitting an empty checkout form","","Fri Aug 23 22:35:32 UTC 2024","passed","Fri Aug 23 22:35:36 UTC 2024","","Checkout page testing","",""
"","861","Verify button changes and cart quantity updates after adding a product","","Fri Aug 23 22:35:31 UTC 2024","passed","Fri Aug 23 22:35:31 UTC 2024","","Inventory page testing","",""
